"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value","ELSA_results_all_discrim_bin_adjusted$OR","ELSA_results_all_discrim_bin_adjusted$CI1","ELSA_results_all_discrim_bin_adjusted$CI2","ELSA_results_all_discrim_bin_adjusted$p_value"
"discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.937051308795456","0.688511065913556","1.26595358714225","0.67513460086398","0.934476209263276","0.681645604123253","1.27172706983121","0.669663228678751"
"gene:discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.864092534285849","0.638117904747082","1.17171231304914","0.345637419765742","0.860678887524423","0.633063856992118","1.17203656331067","0.339240542161097"
"(Intercept)24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.135551740285154","0.113583797497526","0.160543193622047","1.21562514217138e-113","0.049585048288974","0.011456556791286","0.213801811081064","5.64666490637634e-05"
"gene24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.966880032500841","0.81195630490456","1.15192666904893","0.705550612056094","0.966717942015698","0.811549043629526","1.1520882240318","0.70466743968459"
"discrimination24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","1.07734080363489","0.809047642463294","1.42723605920989","0.606500474624288","1.1080315342895","0.828811902737726","1.47417724468145","0.4844624039429"
"gene:discrimination24","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.88151060291426","0.663903264214938","1.1714745688796","0.383624780222007","0.873428659522894","0.657437169584124","1.16134353115545","0.350781408768639"
"(Intercept)9","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.158966570954074","0.134388218523124","0.186804379209619","2.3430173147094e-106","0.256795475873336","0.0596146650176911","1.11435559211035","0.0685421779557434"
"gene9","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","1.06742985966795","0.907202139507456","1.25678528502768","0.432209625569496","1.07550634172532","0.912320214775119","1.26889070338157","0.386690561786106"
"discrimination9","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.809417298987442","0.604241321658912","1.07585924192675","0.150242420231717","0.794300972093324","0.587695864867592","1.06478355766866","0.128225391297279"
"gene:discrimination9","w6_depression_bin","ELSA","wave 6","Depression","3414","1200","0.996041947363807","0.745364543603674","1.33394536392544","0.978672893125672","1.01229468191603","0.754391803990377","1.36192648486762","0.935317525014312"
"(Intercept)17","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.125068635229913","0.103937701664261","0.149218373905574","1.21014266333966e-112","0.0905171292578181","0.0189234135391068","0.433612587075377","0.00261508236748976"
"gene17","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.926586632740529","0.774621331025619","1.10807332618627","0.403369835219061","0.931596200024712","0.777585433282274","1.11602541266862","0.441661718813819"
"discrimination17","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","0.937786723283742","0.688620330300417","1.2676642939768","0.679426562450807","0.928618816100382","0.676045456735616","1.26568296850043","0.642878726425492"
"gene:discrimination17","w7_depression_bin","ELSA","wave 7","Depression","3414","1200","1.09689766047329","0.80644972635008","1.49606292078726","0.557082195260712","1.14227073254798","0.835562463831123","1.56646045372943","0.406302772419989"
"(Intercept)25","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.135557073878581","0.113590607518592","0.160546771085354","1.16213505736041e-113","0.0515894681727093","0.0119278433104227","0.222330660277366","7.02046931935388e-05"
"gene25","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","0.996456497929878","0.839411562644853","1.18318534202303","0.967638615094773","0.986757184436285","0.831456110932255","1.17143181854966","0.878738181582976"
"discrimination25","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","1.0772100450372","0.808585375767423","1.42756095730663","0.607587841958954","1.10831541503518","0.828645163957019","1.47508574097563","0.483987107285869"
"gene:discrimination25","w8_depression_bin","ELSA","wave 8","Depression","3414","1200","1.03086100694273","0.774643758259334","1.37414769183733","0.835216931072753","1.03171045900627","0.775004767527569","1.37560699327072","0.830987787080339"
