"","est","L95%","U95%","se"
"pc3",-2.23691428395203,-7.79209387840461,3.31826531050055,2.83432738472295
"pc4",1.33776872461523,-4.14498038140009,6.82051783063055,2.79737237483063
"pc5",1.88621782831857,-3.74246710122139,7.51490275785854,2.87183079584029
"pc6",-3.27976461482327,-8.62917042650896,2.06964119686242,2.72933883167299
"pc7",3.91173298987809,-1.46361632221366,9.28708230196984,2.74257555469989
"pc8",-5.06011800572001,-10.6045750825717,0.484339071131719,2.82885661195088
"pc9",3.18536209894389,-2.14495155482126,8.51567575270904,2.7195977557802
"pc10",3.69298050685439,-1.73217249731693,9.11813351102571,2.76798606860342
"PGS:baseline_discriminaition",0.0556022413604401,-0.0834744088043005,0.194678891525181,0.0709587784580531
"meanlog",3.85855942006409,0.845234117512536,6.87188472261565,1.53743911945336
"sdlog",0.660541923348445,0.381330214424987,1.14419370927318,0.185155625334099
"PGS",-0.213869122253555,-1.11358499996393,0.685846755456822,0.459047148216611
"baseline_discriminaition",-0.233610289497762,-1.09051679537505,0.623296216379527,0.437205230624878
"scale(age)",0.359081589359132,-0.138541061195397,0.856704239913661,0.253893772783435
"sex",0.244597664939865,-0.553179985788671,1.0423753156684,0.407036893035436
"scale(wealth)",0.537593828819566,-0.829566199269424,1.90475385690856,0.697543444100491
"alcohol",-0.0261917476910068,-0.0530884047161565,0.000704909334143033,0.0137230363605185
"smoking",0.0198731459342994,-0.0301796154304914,0.0699259072990902,0.0255375924045547
"physical_activity",-0.344429917975077,-1.20139501747662,0.512535181526468,0.437235125880464
"data_AFT_input[, alternative_cov]",-1.01356993938486,-1.88780653876645,-0.139333340003265,0.446047277540536
"depression",-0.0138330202499949,-0.179954134590308,0.152288094090318,0.0847572280157467
"pc1",66.0363999293195,-2.71878139833318,134.791581256972,35.0798187466631
"pc2",-7.36498969825188,-37.4328016798316,22.7028222833278,15.3410022932823
"pc3",-21.2557474446778,-59.189070100903,16.6775752115474,19.3540916850709
"pc4",-5.53358974272391,-71.3221054602144,60.2549259747666,33.5661860301628
"pc5",-3.40176642423413,-29.7795688369632,22.9760359884949,13.458309755074
"pc6",19.6734151057157,-14.1658275761623,53.5126577875937,17.2652369884333
"pc7",29.3668279707474,-13.7502433499577,72.4838992914525,21.9989100110038
